locale,slug,status,target
en,ai-agent,301,agent-ready-website
en,ai-citation,301,how-to-get-cited-by-ai
en,ai-crawler,301,ai-crawlers
en,ai-hallucination,301,ai-hallucinations
en,ai-inference,301,how-does-chatgpt-work
en,ai-overviews,301,what-are-google-ai-overviews
en,ai-search-engine-optimization,301,ai-seo
en,ai-visibility,301,what-is-ai-visibility
en,amazonbot,301,ai-crawlers
en,answer-engine-optimization,301,what-is-answer-engine-optimization
en,answer-engine,301,what-is-geo
en,applebot,301,ai-crawlers
en,bingbot,301,ai-crawlers
en,brand-mention,301,track-brand-mentions-in-ai-search
en,bytespider,301,ai-crawlers
en,ccbot,301,ai-crawlers
en,chatgpt-search,301,how-chatgpt-search-works
en,chatgpt-user,301,seo-for-chatgpt
en,claudebot,301,claude-seo
en,content-chunking,301,content-chunking
en,context-window,301,how-does-ai-search-work
en,e-e-a-t,301,eeat-ai-search
en,entity-seo,301,entity-seo
en,featured-snippet,301,how-does-ai-search-work
en,fine-tuning,301,how-does-chatgpt-work
en,generative-engine-optimization,301,what-is-geo
en,google-ai-mode,301,what-is-google-ai-mode
en,google-extended,301,ai-crawlers
en,google-sge,301,what-are-google-ai-overviews
en,gptbot,301,gptbot
en,grounding,301,how-does-ai-search-work
en,knowledge-graph,301,entity-seo
en,knowledge-panel,301,entity-seo
en,large-language-model,301,how-does-chatgpt-work
en,llm-seo,301,llm-seo
en,llms-txt,301,llms-txt
en,meta-externalagent,301,ai-crawlers
en,mixture-of-experts,301,what-is-deepseek
en,multimodal-ai,301,what-is-gemini
en,named-entity-recognition,301,entity-seo
en,oai-searchbot,301,ai-crawlers
en,open-source-ai,301,open-weights-vs-open-source
en,open-weights,301,open-weights-vs-open-source
en,perplexity-user,301,perplexity-seo
en,perplexitybot,301,ai-crawlers
en,query-fan-out,301,query-fan-out
en,reasoning-model,301,how-ai-models-think
en,retrieval-augmented-generation,301,what-is-rag
en,robots-txt,301,how-to-optimize-for-ai-search
en,schema-markup,301,schema-markup-for-ai
en,semantic-search,301,how-does-ai-search-work
en,share-of-voice,301,ai-share-of-voice
en,topical-authority,301,topical-authority
en,transformer-model,301,how-does-chatgpt-work
en,vector-embeddings,301,vector-embeddings
en,wikidata,301,entity-seo
en,zero-click-search,301,zero-click-searches
fr,agent-ia,301,site-agent-ready
fr,ai-overviews,301,apercus-ia-google
fr,answer-engine-optimization,301,aeo
fr,balisage-schema,410,
fr,citation-ia,410,
fr,e-e-a-t,301,e-e-a-t
fr,fenetre-de-contexte,301,comment-fonctionne-la-recherche-ia
fr,fine-tuning,301,comment-fonctionne-chatgpt
fr,generative-engine-optimization,301,generative-engine-optimization
fr,grand-modele-de-langage,301,comment-fonctionne-chatgpt
fr,hallucination-ia,301,hallucination-ia
fr,llms-txt,410,
fr,mixture-of-experts,301,cest-quoi-deepseek
fr,modele-de-raisonnement,301,comment-fonctionne-claude
fr,part-de-voix,410,
fr,poids-ouverts,410,
fr,rag,301,quest-ce-que-le-rag
fr,recherche-semantique,301,comment-fonctionne-la-recherche-ia
fr,robots-txt,301,referencement-ia
fr,visibilite-ia,301,visibilite-ia
